Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Xavier Lipscomb,G,34,34,1136,9.4,0.511,0.563,0.508,289,1.9,11.8,7.2,23.7,1.6,0.5,24.8,13.6,0.7,1.6,2.3,0.082,-3.2,0.1,-3.1,
2,Dola Adebayo,F,34,34,980,19.1,0.59,0.204,0.439,410,8.9,18,13.8,8.1,1.9,4.4,16.5,23.7,1.6,1.9,3.5,0.145,-0.1,0.2,0,
3,Jedy Cordilia,F,33,31,966,15.8,0.611,0.029,0.22,315,11,17,14.3,7.7,0.8,3.3,17.6,17.4,1.5,1.6,3,0.126,-2.2,-0.9,-3.1,
4,Carmelo Pacheco,G,30,30,846,14.5,0.689,0.883,0.202,239,1.8,4.8,3.4,9.4,1.3,0.4,5.1,13.1,2.3,0.9,3.1,0.149,2.2,-0.6,1.7,
5,Dallas Hobbs,G,28,24,774,12.4,0.5,0.511,0.294,349,1.3,12.9,7.5,26.7,1.7,0.2,17.9,28.3,0.4,1.2,1.6,0.081,-2.1,-1.4,-3.6,
6,Arlandus Keyes,G,30,2,556,13,0.511,0.688,0.179,193,2.7,15.3,9.5,21.1,3.7,1.3,21.4,21.9,0.1,1.2,1.3,0.09,-1.6,1.8,0.2,
7,Terrell Ard Jr.,F,21,3,512,22.3,0.575,0.037,0.466,235,11.9,21.4,17,20.5,2.6,2.1,17.8,24.2,1,1.1,2.1,0.167,1.7,0.9,2.6,
8,Javon Ervin,G,32,12,488,6.3,0.443,0.306,0.331,164,5.3,11.3,8.6,12.1,1.3,0.7,20.9,24.5,-0.5,0.7,0.1,0.012,-6,-1.9,-7.9,
9,Abdou Khadre K̩b̩,F,28,0,318,3.8,0.414,0.602,0.193,74,3.9,9.7,7,7.8,3.1,0.4,24.2,19.2,-0.5,0.5,0,0.003,-8.4,-0.7,-9.1,
10,Patrick Haigh,G,17,0,112,4.1,0.415,0.927,0,31,4.4,3.8,4.1,5.3,0.5,2.1,10.9,21,-0.1,0.1,0,0.013,-3.7,-2.9,-6.6,
11,Malcolm Dread,G,16,0,110,7.4,0.609,0.522,0,24,3.4,12.6,8.3,7.1,0.5,0,23.3,13.9,0,0.1,0.2,0.062,-3.5,-1.2,-4.8,
12,Trey Wilson,G,22,0,92,5.4,0.47,0.4,0.733,21,6.7,13.9,10.6,7.8,3.2,2.6,37.2,17.9,-0.2,0.2,0,0.006,-10,0.3,-9.7,
13,Jonathan Ogunfuye,F,3,0,7,32.7,1,0,0,3,35.4,15.2,24.5,0,0,0,33.3,21.9,0,0,0,0.152,9.2,0.5,9.6,
14,Jaxon Hartman,G,1,0,2,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0.022,-1.9,-0.5,-2.4,
,Team Totals,,34,34,6899,,0.547,0.41,0.316,,,,,,,,,,6.4,11.1,17.4,0.101,-1.9,-0.3,-2.2,
