,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,SOSp^0.5,depthp,model D*E*L*M,model upset plus
66,nevada,11,5.223470931,3.667109456,5.636277307,-6.950868137,8.993342732,0.374078665,1.555430416,9,3.937003937,7,527.8942654,961.3800719
10,arizona-state,11,4.677992171,3.881714869,5.117350388,-6.96302992,11.81054313,0.50196832,1.49194361,9,4.123105626,7,524.0896976,954.451344
65,arizona-state,11,4.677992171,3.881714869,5.117350388,-6.96302992,11.81054313,0.50196832,1.49194361,9,4.123105626,7,524.0896976,954.451344
58,pittsburgh,11,5.561112837,3.657798802,5.785801268,-6.972062512,9.039009038,0.518393144,1.752389643,8,3.640054945,6.5,481.285543,876.4981175
6,virginia-commonwealth,12,6.174873917,3.642953116,5.598473684,-8.303139016,13.12264924,0.491053889,1.672441374,8,3.214031736,6.5,469.9430095,874.6624962
22,oral-roberts,12,7.158490556,3.347605838,5.97316349,-5.543739892,11.32636532,0.418099416,2.029457852,8,2.397915762,6.5,373.5107037,695.1817515
54,drake,12,6.715316922,3.008718221,5.762982824,-6.665200274,7.350704662,0.441058364,1.715263009,8,2.731300057,6.5,358.6995238,667.6150397
8,iona,13,6.60233809,2.949676446,5.543265217,-6.353661767,12.98159867,0.577988571,1.7927948,9,2.295648057,7,312.9503832,594.2392388
56,kent-state,13,6.431816742,2.896164195,5.54389011,-6.897576177,13.09717504,0.55307237,1.772696033,7,2.712931993,6,303.212429,575.7485296
38,college-of-charleston,12,6.867165358,2.824252746,5.551817143,-7.182917385,8.968646915,0.58802676,1.779207961,9,2.054263858,7,278.8915334,519.0756323
12,grand-canyon,14,5.940834056,1.398124227,5.824279767,-7.581922155,7.395265268,0.534572103,1.6429377,9,3.112876483,7,180.9893879,350.0943646
24,louisiana,13,5.924402237,1.65027501,5.771827045,-7.678997678,8.988375143,0.572997379,1.786831691,8,2.765863337,6.5,175.7700737,333.7572995
40,furman,13,6.445485843,1.75358782,5.99577958,-6.866291425,9.21772343,0.550714673,1.875537043,9,2.188606863,7,173.1605577,328.8022752
44,california-santa-barbara,14,5.603370829,1.555090383,5.818024211,-7.357703418,8.728121573,0.4353243,1.70083193,8,2.553429067,6.5,144.6245948,279.7526209
32,vermont,15,5.840717333,1.566947412,5.802465691,-5.591288792,8.654833249,0.323554803,1.789121547,8,2.229349681,6.5,132.6209582,260.9966758
48,princeton,15,5.668226362,1.115122256,5.694243038,-7.615569019,7.558309806,0.47373009,1.594626598,9,2.385372088,7,105.5416409,207.7048593
28,montana-state,14,5.443695591,0.668459053,5.7936375,-7.887758622,9.038197875,0.444941652,1.55585817,10,2.655183609,7.5,72.46436032,140.1704513
64,colgate,15,6.305188246,1.212356934,6.051749902,-6.802133653,9.499614257,0.428837278,1.925717616,8,1.410673598,6.5,70.09200011,137.9403323
60,kennesaw-state,14,5.397787683,0.353786271,5.610151453,-7.480406339,10.08655235,0.42824358,1.590365268,9,2.481934729,7,33.17761554,64.17667008
50,northern-kentucky,16,5.28433351,0.186810808,5.406563481,-7.328862203,12.085326,0.559664849,1.649971178,9,2.284731932,7,15.78794159,31.57588318
16,north-carolina-asheville,15,5.479289818,-0.029211098,5.832325678,-9.032801612,9.446733976,0.407177801,1.59203609,8,1.876166304,6.5,-1.951896778,-3.841312699
34,texas-am-corpus-christi,16,5.645863141,-0.433585333,5.722623225,-7.623315542,9.123887782,0.561108771,1.683288429,9,1,7,-17.13574415,-34.2714883
2,howard,16,4.909427497,-0.904616758,5.67489094,-9.545638322,9.572820677,0.590709139,1.536235033,10,1.708800749,7.5,-56.91780829,-113.8356166
18,texas-southern,16,3.385959986,-2.856592104,5.07,-8.47337591,9.194822006,0.537185921,1.237986056,11,2.046948949,8,-158.389742,-316.779484
