"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"274","texas-tech florida 2018",3,2,1.5,1,4.5,6,3,1.13380118030965,1.37244155072202,-4.87384690329755,-1.42518132149563,0.843690120617484,0.109795540939941,0.0296100395928612,1
"275","purdue butler 2018",3,2,1.5,1,4.5,6,8,1.69157518242482,2.7179964163527,-5.19366899595613,-0.0274937584228745,0.506577214586311,-0.0159723622650517,0.113438442789457,0
"276","villanova west-virginia 2018",12,4,1.75,1,21,48,4,1.40383915825923,2.35872526896929,-4.81112877394092,0.410925793633552,-3.37855480114415,-0.12149200356321,0.317854195702613,-2
"277","purdue texas-tech 2018",13,4,1.75,1,22.75,52,1,0.550595432394044,1.64166949287783,-5.07222802193796,0.468476200562224,-1.81711481266291,-0.177459071937369,0.0943622918822054,-2
"278","villanova texas-tech 2018",12,8,1.875,1,22.5,96,2,1.16197321354465,1.95484899986975,-5.04882940081264,1.3432396826443,-1.64082008670486,-0.101812065085191,0.365520300992834,-2
"279","xavier texas-southern 2018",19,1,1,1,19,19,15,2.35881719177897,8.57054425778341,-4.98022787766051,-0.0811479296495374,-0.266745284491265,0.0864672103914211,0.29951386929587,0
"280","missouri florida-state 2018",-13,1,1,0,-13,-13,1,-0.519607452425453,-0.33303450779855,-5.12238930575062,-1.55234838686722,-1.34733570173494,-0.0777095459506494,-0.229784860853907,-3
"281","ohio-state south-dakota-state 2018",8,1,1,1,8,8,7,-0.0617474371881652,4.18270911466343,-5.37860469155719,-1.43766549277092,3.44415397082245,0.0892907145100515,-0.0280516242283085,0
"282","gonzaga north-carolina-greensboro 2018",4,1,1,1,4,4,9,1.4114869480931,4.8385391826994,-4.90943421255764,1.59241505777083,-2.8418599734704,-0.0344536394083302,0.396697832964206,-1
"283","houston san-diego-state 2018",2,1,1,1,2,2,5,0.910075471052409,1.63722247953637,-5.03987669455585,-0.455408156607319,0.248810365161559,0.0243833906640167,0.101473006789779,-2
"284","michigan montana 2018",14,1,1,1,14,14,11,0.617563936192235,4.49932607332705,-5.01331854529414,1.59634185719983,-1.22279970549632,-0.129982069192114,0.108946004307955,1
"285","texas-am providence 2018",4,1,1,1,4,4,3,1.13234880098408,2.03232268582471,-4.82194279058261,0.0445397279243416,1.22759447376511,0.191919830403209,0.19084518790268,-2
"286","north-carolina lipscomb 2018",18,1,1,1,18,18,13,1.06952092247743,8.14891066270653,-5.09558887423563,1.98226951377094,0.872964678756569,0.1685950244892,0.345656744966953,-1
"287","xavier florida-state 2018",-5,2,1.5,0,-7.5,-10,8,0.527580929360058,1.63175267677277,-5.09370845167225,-0.0314874847826063,-2.71139777787965,-0.0946190888247588,0.0757950459155456,-1
"288","gonzaga ohio-state 2018",6,2,1.5,1,9,12,1,1.5963132920597,0.265819513888441,-5.17542302417818,0.730373691223388,-0.703370321659074,0.0519231776441238,0.239858894425693,-1
"289","michigan houston 2018",1,2,1.5,1,1.5,2,3,-0.289557094705737,0.974353205781106,-5.14132220234067,1.85616833427965,-0.227431780435763,-0.140908000692246,0.0221266661337026,1
"290","north-carolina texas-am 2018",21,2,1.5,1,31.5,42,5,0.816742599518172,1.82646846406146,-4.94148010578594,0.998069062590661,-1.86444498889695,0.00402850095618232,0.165962571755387,1
"291","gonzaga florida-state 2018",-15,4,1.75,0,-26.25,-60,5,2.19057688968989,1.76620339689527,-5.08849394214465,0.570320188154327,-1.51753785060513,-0.0466484490690744,0.248116597271373,-2
"292","michigan texas-am 2018",27,4,1.75,1,47.25,108,4,1.38038658269403,1.04805928063876,-4.9297618453022,1.85993176088409,-1.83842610094911,-0.217138512375147,0.118892171825507,1
"293","michigan florida-state 2018",4,8,1.875,1,7.5,32,6,1.09506492505645,1.85724804248609,-5.12353617275367,1.76384853403651,-1.69411130846998,-0.173141474577051,0.0462046949983744,-1
"294","kansas pennsylvania 2018",16,1,1,1,16,16,15,0.598746078310181,6.46260494494101,-5.0072803139806,0.441124691541168,2.45232803541474,0.115847747860663,0.320958942635063,0
