,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model
1,connecticut,1,8.000734719,7.957793065,6.030297841,-6.131645153,11.34379451,0.653572583,2.068908367,9,7,445.6773388,7.65,363.5287367
33,houston,1,8.03415353,9.189297383,5.342343324,-5.483344773,15.26946129,0.580676874,1.924685118,7,6,442.9693561,10.29,416.8751992
7,auburn,4,7.149957276,7.379905693,5.885611643,-6.352066704,12.8836294,0.565425537,1.901334284,10,7.5,395.745078,8.03,329.9442337
49,purdue,1,6.988372509,7.87570153,5.983532357,-7.029925676,8.781641058,0.678394843,1.903257304,9,7,385.2683524,11.53,385.2683524
3,iowa-state,2,7.050392911,7.379617496,5.52308657,-6.636285841,13.63303558,0.539479044,1.74912686,9,7,364.2044202,8.74,315.9321954
19,arizona,2,7.116295133,7.491193093,5.856595431,-6.768603359,10.30712716,0.613835165,1.876254317,8,6.5,346.5120162,9.64,315.4000109
39,duke,4,6.956058431,7.242648057,5.880489381,-6.100563757,9.781050228,0.525871354,1.92418291,7,6,302.2816985,7.82,249.0054466
11,brigham-young,6,6.59270908,6.501124196,5.779714172,-6.362536774,7.947834913,0.568416101,1.794226267,9,7,300.0201436,8.41,255.5515998
51,tennessee,2,6.599434397,6.989526472,5.532770186,-5.941270693,12.2225243,0.598755344,1.779935876,8,6.5,299.8249892,10.19,280.7387428
17,north-carolina,1,6.526611815,6.905395182,5.629109848,-5.992658151,9.16159975,0.556779323,1.785794128,8,6.5,292.9474196,9.75,268.1756188
5,illinois,3,6.456592569,6.742316364,5.816649389,-6.169316434,7.059425019,0.624153607,1.881862827,8,6.5,282.9605332,9.25,252.3120764
57,gonzaga,5,7.568709623,6.163497908,6.029204724,-5.813496305,10.09514644,0.595464435,2.048219247,7,6,279.8983556,3.01,166.6093299
23,alabama,4,5.871900972,6.48540758,6.071014815,-6.976731847,9.779522467,0.593837228,1.871347004,9,7,266.5716975,11.42,265.1786863
53,creighton,3,6.514693179,6.769955124,6.06875624,-6.373697386,6.977127309,0.387598229,1.821441732,7,6,264.6250828,9.21,235.459753
21,baylor,3,6.018175572,6.44908315,5.916004852,-7.252482881,9.785727066,0.632773401,1.804248894,8,6.5,252.2761454,11.4,250.7181454
35,marquette,2,5.764410363,6.153758174,5.813065287,-6.280799613,11.42644127,0.471073514,1.7357701,9,7,248.3095117,0,112.2995987
25,saint-marys-ca,5,7.536840966,5.304359985,5.598908997,-6.060962013,9.607524316,0.638476142,1.751315089,7,6,239.8687058,0,108.482189
9,san-diego-state,5,5.926233567,5.202782181,5.486140138,-6.583590159,11.2073975,0.563843037,1.663757641,9,7,215.8303168,0,97.6106706
37,kentucky,3,5.768506201,5.31197446,6.057877778,-6.206712204,12.2938151,0.493977733,1.909379405,9,7,214.4951033,0,97.00681155
32,michigan-state,9,5.602227813,5.823431364,5.505894161,-6.192404032,10.87372726,0.510132546,1.69109217,8,6.5,212.0572295,0,95.90426722
46,colorado,10,6.373968589,6.037393273,6.058513572,-7.255513386,7.602853092,0.533387786,1.846094223,6,5.5,211.6518529,0,95.72093302
65,colorado,10,6.373968589,6.037393273,6.058513572,-7.255513386,7.602853092,0.533387786,1.846094223,6,5.5,211.6518529,0,95.72093302
28,new-mexico-state,11,6.239860233,5.095988372,5.483072584,-5.732754877,12.99973549,0.513275888,1.810851341,8,6.5,206.6886587,0,93.47629601
64,texas-christian,9,5.752411425,4.776609083,5.573609813,-7.292674476,11.74293028,0.637651949,1.698927717,10,7.5,206.077655,0,93.19996558
61,texas,7,5.616404423,5.607018241,5.736199134,-7.005295591,10.88665571,0.491590477,1.749275498,8,6.5,204.6933333,0,92.57389705
41,wisconsin,5,5.327854285,5.801011932,5.716797168,-6.19020835,7.358078671,0.536612888,1.714887894,8,6.5,200.8951508,0,90.85614421
47,nebraska,8,5.788710095,5.133507159,5.706698988,-6.827542287,8.390960313,0.50665959,1.674024765,8,6.5,193.1565006,0,87.35628912
