,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model
36,western-kentucky,15,5.510409909,0.740713726,5.634386035,-7.428338744,9.470493299,0.489745873,1.592426477,9,7,63.41664026,-3.4,18.28119823
4,south-dakota-state,15,5.259525931,0.634834561,5.855110309,-6.888824265,9.441637175,0.42348619,1.648936541,8,6.5,48.700974,-3.16,14.58964647
38,oakland,14,4.74504402,0.959400826,5.580485476,-6.967944582,9.094716016,0.519336851,1.638490688,9,7,36.40764202,-1.9,13.06765107
22,colgate,14,5.890492868,0.272927682,5.635553164,-7.019060899,9.780564834,0.430916726,1.606949791,10,7.5,73.26749529,-6.09,11.83737677
34,longwood,16,5.582423536,-0.238055551,5.401810013,-7.400864261,9.259765005,0.672761459,1.584443583,8,6.5,45.86620206,-5.58,8.512144894
20,long-beach-state,15,4.459727322,0.224728925,5.436687923,-7.484770271,11.63886571,0.560535688,1.595957466,8,6.5,19.03983573,-1.59,7.111912262
2,stetson,16,4.798532212,-1.303346546,5.806665303,-6.645840554,7.758359522,0.496031872,1.669612288,9,7,17.19098475,-3.87,4.575085438
52,saint-peters,15,4.714797713,-0.75234871,5.008096921,-7.608899647,11.66812284,0.617326914,1.408882789,9,7,20.4465964,-6,3.390109248
50,montana-state,16,4.328746354,-1.170292522,5.763490733,-7.316191728,9.601069783,0.365098026,1.535091622,7,6,8.107776634,-3.9,2.146288492
70,howard,16,4.284149227,-2.496336722,5.762462072,-8.74562249,8.038890701,0.561354568,1.421112757,9,7,2.767438528,-7.84,0.218996549
18,wagner,16,4.506119725,-3.124886585,4.899157175,-6.184059429,8.228968816,0.534999841,1.348014076,7,6,0,-9.52,0
72,grambling,16,3.834317727,-2.613474787,5.350269767,-8.285238478,10.00150079,0.519158267,1.426336319,9,7,0,-6.43,0
