Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kadary Richmond,G,34,33,1122,20.5,0.509,0.101,0.283,472.0,4.1,17.0,10.4,28.9,3.6,3.3,13.8,20.8,2.0,3.2,5.2,0.184,3.5,7.0,10.5,
2.0,Zuby Ejiofor,F,34,33,1077,24.0,0.629,0.139,0.711,497.0,14.1,12.9,13.5,9.0,1.6,5.2,13.2,19.9,3.6,2.5,6.1,0.226,5.3,3.9,9.2,
3.0,RJ Luis,G,33,30,1053,21.6,0.529,0.257,0.35,561.0,7.1,17.1,12.0,12.6,2.5,2.2,11.2,28.9,2.4,2.7,5.1,0.194,4.8,4.0,8.8,
4.0,Aaron Scott,G,34,28,926,14.0,0.518,0.616,0.137,275.0,6.7,9.5,8.0,5.6,3.1,2.3,7.6,15.4,1.5,2.2,3.7,0.159,1.5,5.1,6.6,
5.0,Simeon Wilcher,G,34,23,874,8.9,0.482,0.391,0.143,249.0,1.4,6.6,4.0,8.9,2.5,2.0,14.7,18.0,0.2,1.9,2.1,0.095,-2.6,4.3,1.7,
6.0,Deivon Smith,G,28,17,754,15.7,0.463,0.312,0.213,283.0,3.6,15.7,9.5,24.8,3.2,1.7,14.2,20.3,0.8,2.0,2.8,0.146,1.4,5.2,6.6,
7.0,Vincent Iwuchukwu,F,32,1,232,16.4,0.565,0.029,0.25,77.0,7.7,18.4,12.9,3.8,1.0,8.1,13.6,17.9,0.3,0.6,0.9,0.159,-1.6,4.0,2.3,
8.0,Rub̩n Prey,F,31,1,229,11.8,0.432,0.357,0.333,48.0,7.8,12.4,10.0,6.6,2.7,5.7,7.6,10.9,0.2,0.6,0.8,0.137,-1.2,5.6,4.4,
9.0,Sadiku Ibine Ayo,F,29,2,228,10.2,0.502,0.519,0.148,55.0,5.1,13.0,8.9,4.8,1.5,2.6,10.8,13.4,0.2,0.5,0.7,0.126,-0.2,3.3,3.1,
10.0,Brady Dunlap,F,10,2,165,14.0,0.622,0.744,0.14,49.0,3.2,11.3,7.1,7.0,1.4,0.0,6.1,14.0,0.4,0.3,0.7,0.176,1.4,2.3,3.6,
11.0,Jaiden Glover,G,22,0,140,5.8,0.459,0.612,0.143,42.0,0.7,3.1,1.9,7.1,1.2,1.7,16.0,21.0,-0.1,0.2,0.2,0.051,-3.0,0.6,-2.4,
12.0,Lefteris Liotopoulos,G,23,0,97,9.9,0.469,0.621,0.138,28.0,4.3,6.8,5.5,10.1,1.8,1.2,11.5,17.0,0.1,0.2,0.3,0.108,-1.4,3.0,1.5,
13.0,Khaman Maker,C,1,0,3,1.4,0.0,,,1.0,34.9,0.0,17.8,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.027,-8.5,-7.2,-15.7,
,Team Totals,,34,34,6900,,0.525,0.303,0.302,,,,,,,,,,11.5,16.9,28.5,0.165,2.0,4.7,6.7,
