,teams,WS/40*BPM*Depth*SOS^.15,Formula Adjusted,Formula Adjusted 2.0,SOS,SOS adjusted,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth adjusted,538,Kenpom
54,oregon-state,181.3919581386,141.0826341078,110.8186717514,7.67,18.63,4.7150363754,2.7565034719,5.4495560145,-7.2663567174,9.2646594456,0.5562626092,1.6286967742,9,7,,
40,north-texas,164.3562727872,140.8768052461,100.9711044266,-0.21,10.75,6.0932815175,2.6985205564,5.7557223975,-8.7767523386,9.0793527508,0.4400180842,1.6029946709,7,6,,
56,liberty,178.6785515737,145.1763231536,93.0469714113,-6.69,4.27,7.92245497,2.2675583722,6.1064781906,-6.787821099,6.8857487923,0.4131060707,1.9017918612,8,6.5,,
28,abilene-christian,162.7178937326,132.2082886577,82.4777514931,-8.46,2.5,7.9300419625,2.2355214446,5.5963434579,-8.1752123687,12.4330152238,0.5592584977,1.7735112419,8,6.5,,
16,grand-canyon,152.2073753141,123.6684924427,81.4910665771,-5.79,5.17,7.3670627179,2.0184953877,5.8108658854,-8.0335509522,7.8645507813,0.5704098071,1.7466447456,8,6.5,,
24,north-carolina-greensboro,144.6045497065,112.4702053273,81.0956837392,-2.26,8.7,5.7024678216,2.03680155,5.120332159,-6.183919432,11.2137358491,0.5459065928,1.6868058197,9,7,,
38,winthrop,148.7930999708,108.2131636151,70.9747122125,-7.62,3.34,6.8778881319,1.6412435375,5.6057880435,-8.5069734746,9.1576425694,0.6198448749,1.7080982303,11,8,,
12,eastern-washington,84.3605497974,68.5429467104,47.3880988068,-5.49,5.47,6.1485315874,1.3291680919,5.898100799,-7.1627807681,7.2483146067,0.415926846,1.7304196243,8,6.5,,
50,drexel,42.0263859345,38.5241871067,27.4654812889,-4.37,6.59,5.6436771531,0.9353535952,5.8879859895,-8.107070141,6.6323939099,0.4659039833,1.7428623339,6,5.5,,
32,iona,22.3744328723,19.1780853191,13.258844153,-7.15,3.81,5.719832581,0.4572270675,5.6003010949,-9.3012491838,10.8603887399,0.5527632905,1.5800234474,7,6,,
48,oral-roberts,20.2440075711,17.3520064895,12.5669346518,-2.6,8.36,5.5580523656,0.3783945522,5.9163490364,-6.7929291766,8.5998463902,0.3611843851,1.7750931231,7,6,,
60,morehead-state,21.0259390739,17.0835754975,12.2816529088,-4.53,6.43,5.4316277841,0.3660191158,5.5461169102,-9.7076195311,9.9237327602,0.5710643383,1.5399813856,8,6.5,,
18,texas-southern,-0,-0,-0,-10.96,0,5.439373469,-1.4279096278,5.4132374101,-8.7539996997,10.921396598,0.555893735,1.5760627867,8,6.5,,
64,cleveland-state,-26.895298612,-20.9185655871,-15.8565440248,-5.05,5.91,4.3212654948,-0.5297668624,5.3627612376,-7.8545209019,9.3008291203,0.5139731721,1.5551427898,9,7,,
2,norfolk-state,-34.3253865895,-25.7440399421,-17.137117459,-9.39,1.57,5.5735979661,-0.5755656276,5.4488708671,-7.4320623231,9.5931980907,0.4285751469,1.5654454006,10,7.5,,
34,hartford,-29.2446532489,-23.7612807647,-17.6651730233,-5.36,5.6,4.6200365062,-0.6110586244,5.426829096,-8.6038210433,8.7721200838,0.4353393164,1.4319511783,8,6.5,,
