Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed - Score,Worse Seed - Score,Game Winner - Team,Game Winner - Seed,Better Seed vs. Spread,Better Seed vs. Spread (Points),O/U,O/U Margin,Margin of Victory,Total Points Scored,Better Seed Conference,Worse Seed - Conference,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,
415,2015,Midwest,1) Round of 64,Columbus,5,west-virginia,-4.5,149,12,Buffalo,68,62,west-virginia,Better Seed,Win,-1.5,UNDER,-19,6,130,Big 12,Mid American,23,57,No,34,6.43,18.73,12.3,36,53,31,90,,,
416,2015,Midwest,1) Round of 64,Columbus,4,Maryland,-5,123.5,13,Valparaiso,65,62,Maryland,Better Seed,Loss,2,OVER,3.5,3,127,Big Ten,Horizon,32,65,No,33,5.27,16.24,10.97,56,114,36,48,,,
417,2015,Midwest,1) Round of 64,Pittsburgh,6,Butler,2.5,123,11,Texas,56,48,Butler,Better Seed,Win,-10.5,UNDER,-19,8,104,Big East,Big 12,21,20,Yes,-1,-0.46,19.62,20.08,61,39,9,13,,,
418,2015,Midwest,1) Round of 64,Pittsburgh,3,Notre-Dame,-12,143,14,Northeastern,69,65,Notre Dame,Better Seed,Loss,8,UNDER,-9,4,134,ACC,Colonial,9,118,No,109,19.26,24.07,4.81,2,92,111,157,,,
419,2015,Midwest,1) Round of 64,Omaha,7,Wichita-State,-6.5,140,10,Indiana,81,76,Wichita State,Better Seed,Loss,1.5,OVER,17,5,157,Missouri Valley,Big Ten,15,50,No,35,7.83,21.61,13.78,21,10,17,203,,,
420,2015,Midwest,1) Round of 64,Omaha,2,Kansas,-9.5,132,15,New-Mexico-State,75,56,Kansas,Better Seed,Win,-9.5,UNDER,-1,19,131,Big 12,WAC,12,94,No,82,16.75,23.72,6.97,27,113,8,101,,,
421,2015,Midwest,2) Second Round,Louisville,1,Kentucky,-16,122,8,Cincinnati,64,51,Kentucky,Better Seed,Loss,3,UNDER,-7,13,115,SEC,American,1,41,No,40,23.02,37.26,14.24,6,83,1,24,,,
422,2015,Midwest,2) Second Round,Columbus,4,Maryland,1.5,136.5,5,west-virginia,59,69,west-virginia,Worse Seed,Loss,8.5,UNDER,-8.5,10,128,Big Ten,Big 12,32,23,Yes,-9,-2.49,16.24,18.73,56,36,36,31,,,
423,2015,Midwest,2) Second Round,Pittsburgh,3,Notre-Dame,-4,136,6,Butler,67,64,Notre Dame,Better Seed,Loss,1,UNDER,-5,3,131,ACC,Big East,9,21,No,12,4.45,24.07,19.62,2,61,111,9,,,
424,2015,Midwest,2) Second Round,Omaha,2,Kansas,0,134,7,Wichita-State,65,78,Wichita State,Worse Seed,Loss,13,OVER,9,13,143,Big 12,Missouri Valley,12,15,No,3,2.11,23.72,21.61,27,21,8,17,,,
425,2015,Midwest,3) Sweet 16,Cleveland,1,Kentucky,-13,135.5,5,west-virginia,78,39,Kentucky,Better Seed,Win,-26,UNDER,-18.5,39,117,SEC,Big 12,1,23,No,22,18.53,37.26,18.73,6,36,1,31,,,
426,2015,Midwest,3) Sweet 16,Cleveland,3,Notre-Dame,2,138.5,7,Wichita-State,81,70,Notre Dame,Better Seed,Win,-13,OVER,12.5,11,151,ACC,Missouri Valley,9,15,No,6,2.46,24.07,21.61,2,21,111,17,,,
427,2015,Midwest,4) Elite 8,Cleveland,1,Kentucky,-11,138.5,3,Notre-Dame,68,66,Kentucky,Better Seed,Loss,9,UNDER,-4.5,2,134,SEC,ACC,1,9,No,8,13.19,37.26,24.07,6,2,1,111,,,
428,2015,West,1) Round of 64,Omaha,1,Wisconsin,-20.5,132,16,Coastal-Carolina,86,72,Wisconsin,Better Seed,Loss,6.5,OVER,26,14,158,Big Ten,Big South,2,147,No,145,31.71,33.32,1.61,1,133,16,171,,,
429,2015,West,1) Round of 64,Omaha,8,Oregon,1,138,9,Oklahoma-State,79,73,Oregon,Better Seed,Win,-7,OVER,14,6,152,Pac-12,Big 12,52,34,Yes,-18,-2.93,13.22,16.15,25,48,122,47,,,
430,2015,West,1) Round of 64,Jacksonville,5,Arkansas,-7.5,136.5,12,Wofford,56,53,Arkansas,Better Seed,Loss,4.5,UNDER,-27.5,3,109,SEC,Southern,29,100,No,71,10.69,17.07,6.38,23,148,65,76,,,
431,2015,West,1) Round of 64,Jacksonville,4,North-Carolina,-10,138,13,Harvard,67,65,North Carolina,Better Seed,Loss,8,UNDER,-6,2,132,ACC,Ivy,11,80,No,69,15,23.79,8.79,12,168,26,38,,,
432,2015,West,1) Round of 64,Jacksonville,6,Xavier,-2,145,11,Mississippi,76,57,Xavier,Better Seed,Win,-17,UNDER,-12,19,133,Big East,SEC,24,38,No,14,4.19,18.63,14.44,18,24,55,103,,,
433,2015,West,1) Round of 64,Jacksonville,3,Baylor,-9.5,125.5,14,Georgia-State,56,57,Georgia State,Worse Seed,Loss,10.5,UNDER,-12.5,1,113,Big 12,Sun Belt,13,72,No,59,13.55,23.44,9.89,13,52,22,127,,,
434,2015,West,1) Round of 64,Portland,7,VCU,3.5,137.5,10,Ohio-State,72,75,Ohio State,Worse Seed,Win,-0.5,OVER,9.5,3,147,Atlantic 10,Big Ten,31,17,Yes,-14,-4.72,16.31,21.03,60,16,28,29,,,
435,2015,West,1) Round of 64,Portland,2,Arizona,-23.5,134.5,15,Texas-Southern,93,72,Arizona,Better Seed,Loss,2.5,OVER,30.5,21,165,Pac-12,SWAC,3,216,No,213,36.25,32.36,-3.89,11,184,3,227,,,
