,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,SOS,SOSp,SOSp^0.5
46,utah-state,10,5.81335424,4.566795633,6.02282617,-7.666301835,7.778438332,0.445246811,1.671528807,9,7.21,15.92,3.989987469
47,arizona,2,0,0,NA,NA,0,0,0,7,8.69,17.4,4.171330723
48,princeton,15,5.668226362,1.115122256,5.694243038,-7.615569019,7.558309806,0.47373009,1.594626598,9,-3.02,5.69,2.385372088
49,houston,1,8.442306748,7.759450072,5.596585956,-6.295972321,14.66831563,0.684896626,1.987961855,9,4.76,13.47,3.670149861
50,northern-kentucky,16,5.28433351,0.186810808,5.406563481,-7.328862203,12.085326,0.559664849,1.649971178,9,-3.49,5.22,2.284731932
51,iowa,8,5.33473664,4.783578346,5.550041789,-5.587204266,8.947354541,0.550146914,1.829576889,8,8.81,17.52,4.185689907
52,auburn,9,5.439867893,5.305389835,5.44572026,-7.493658441,13.0601163,0.556729725,1.683432483,9,9.26,17.97,4.239103679
53,miami-fl,5,5.706761723,4.27021377,5.890610749,-7.012880643,9.946751137,0.54374204,1.888784279,8,5.14,13.85,3.721558813
54,drake,12,6.715316922,3.008718221,5.762982824,-6.665200274,7.350704662,0.441058364,1.715263009,8,-1.25,7.46,2.731300057
55,indiana,4,5.388154909,5.074809498,5.720162811,-7.330485507,10.39105002,0.458259223,1.728107955,9,9.06,17.77,4.215447782
56,kent-state,13,0,0,0,0,0,0,0,8,-1.35,7.36,2.712931993
57,iowa-state,6,5.27882614,5.047834526,5.324391179,-8.430400828,12.02875261,0.555555925,1.486407362,9,10.8,19.51,4.417012565
58,pittsburgh,11,5.561112837,3.657798802,5.785801268,-6.972062512,9.039009038,0.518393144,1.752389643,8,4.54,13.25,3.640054945
59,xavier,3,5.865920128,5.802160029,5.91988354,-7.318276573,8.627056555,0.534105305,1.87125532,7,9,17.71,4.208325083
60,kennesaw-state,14,5.397787683,0.353786271,5.610151453,-7.480406339,10.08655235,0.42824358,1.590365268,9,-2.55,6.16,2.481934729
61,texas-am,7,5.615204643,4.621237211,5.491817804,-7.620257255,9.205316265,0.630430607,1.583893189,10,7.76,16.47,4.058324778
62,penn-state,10,5.216702757,4.741061074,5.843401447,-5.947542134,6.437115174,0.320518112,1.707688159,8,8.9,17.61,4.196427052
63,texas,2,6.285957727,6.597773576,5.658262042,-6.915065175,10.83482896,0.501751037,1.722570731,9,10.84,19.55,4.421538194
64,colgate,15,6.305188246,1.212356934,6.051749902,-6.802133653,9.499614257,0.428837278,1.925717616,8,-6.72,1.99,1.410673598
65,arizona-state,11,4.508418908,3.54526121,5.132078091,-7.178417746,11.52407325,0.477454104,1.437571246,10,8.29,17,4.123105626
66,nevada,11,5.223470931,3.667109456,5.636277307,-6.950868137,8.993342732,0.374078665,1.555430416,9,6.79,15.5,3.937003937
