Rank,teams,seed,ws.40,aBPM,depth,SOS,depth_adj,SOS_adj,Model,Model^(1/4.15)
1,duke 2025,1,8.725012417,9.601688999,10,9.55,7.5,19.59,9426.00688,9.071295991
2,houston 2025,1,7.722203413,9.562107828,9,12.71,7,22.75,7897.575037,8.692708636
3,auburn 2025,1,7.097169106,9.194980951,9,15.39,7,25.43,6824.751068,8.392209966
4,florida 2025,1,7.390138387,8.418669589,10,11.84,7.5,21.88,6240.334387,8.213115277
5,tennessee 2025,2,6.723709256,7.863335039,9,13.17,7,23.21,4664.142358,7.656695871
6,texas-tech 2025,3,6.893969599,7.628947885,9,10.57,7,20.61,4421.894727,7.558921848
7,gonzaga 2025,8,7.35551448,7.185568706,10,6.63,7.5,16.67,4343.971335,7.526607437
8,maryland 2025,4,7.086749532,7.180566762,10,8.85,7.5,18.89,4258.538616,7.490669298
9,alabama 2025,2,5.808554943,7.475263178,11,16.35,8,26.39,4242.550023,7.483882859
10,michigan-state 2025,2,6.342540548,6.963974151,11,11.58,8,21.62,3902.077526,7.334533635
11,iowa-state 2025,3,6.787606217,7.382828813,8,10.74,6.5,20.78,3790.72626,7.283544077
12,missouri 2025,6,6.296523689,6.552133096,11,9.82,8,19.86,3385.736356,7.087920344
13,arizona 2025,4,5.874740985,7.121077471,9,13.84,7,23.88,3356.474352,7.07311048
14,st-johns-ny 2025,2,6.706501983,7.062824839,7,8.9,6,18.94,3120.406511,6.949900653
15,illinois 2025,6,5.926455176,6.565758561,10,12.49,7.5,22.53,3057.315537,6.915777738
16,wisconsin 2025,3,5.919635057,6.508549251,10,11.65,7.5,21.69,2983.75748,6.875312056
17,kentucky 2025,3,5.39834174,6.513884741,11,14.21,8,24.25,2956.223478,6.859970242
18,brigham-young 2025,6,6.025497535,6.131649604,11,9.68,8,19.72,2834.481289,6.790806381
19,kansas 2025,7,5.31645635,6.589479505,10,13.8,7.5,23.84,2786.003622,6.76263685
20,ucla 2025,7,5.940552651,6.011594972,11,10.19,8,20.23,2696.470317,6.709617234
21,purdue 2025,4,5.559302417,6.481676703,9,13.91,7,23.95,2632.624373,6.670987023
22,texas-am 2025,4,5.255654936,6.230536329,11,13.68,8,23.72,2624.429426,6.665977309
23,saint-marys-ca 2025,7,7.041135714,5.80885471,9,5.78,7,15.82,2516.533727,6.59888475
24,marquette 2025,7,5.839181692,6.026674082,10,10.52,7.5,20.56,2503.353209,6.590539925
25,clemson 2025,5,6.480700554,6.187494459,8,7.84,6.5,17.88,2485.536155,6.57920645
26,louisville 2025,8,6.084830137,6.004409049,9,9.65,7,19.69,2401.175471,6.524691398
27,michigan 2025,5,5.300968416,6.125288177,10,13.14,7.5,23.18,2390.212682,6.517500835
28,baylor 2025,9,5.554714221,6.120323142,9,13.59,7,23.63,2340.604437,6.484645972
29,connecticut 2025,8,6.136482851,5.613992615,10,8.44,7.5,18.48,2246.620707,6.420924036
30,virginia-commonwealth 2025,11,7.272034815,5.073249258,10,1.14,7.5,11.18,2016.303409,6.255737638
31,mississippi 2025,6,5.069806751,5.602546313,10,12.49,7.5,22.53,1904.310483,6.170185985
32,oregon 2025,5,5.206225683,5.481007283,10,12.18,7.5,22.22,1867.740862,6.141423764
33,georgia 2025,9,5.240251979,5.28729601,11,10.98,8,21.02,1850.564875,6.127767014
34,creighton 2025,9,5.331277116,5.516600171,9,10.6,7,20.64,1788.458094,6.077567958
35,mississippi-state 2025,8,5.208230745,5.512333905,9,11.95,7,21.99,1761.13673,6.05506505
36,north-carolina 2025,11,5.084971014,5.376313098,9,11.38,7,21.42,1629.215551,5.942521124
37,texas 2025,11,5.328116263,4.91168288,11,9.99,8,20.03,1612.0424,5.927366724
38,utah-state 2025,10,6.261086594,4.591877041,11,5,8,15.04,1586.015302,5.904163875
39,new-mexico 2025,10,6.136342915,4.64651601,10,5.78,7.5,15.82,1503.511423,5.828648789
40,arkansas 2025,10,4.958520074,4.946455289,10,11.21,7.5,21.25,1439.147657,5.767521766
41,xavier 2025,11,5.453996654,4.844253684,9,8.39,7,18.43,1387.06069,5.71651618
42,colorado-state 2025,12,5.823412214,4.580953075,10,5.55,7.5,15.59,1383.81298,5.713288047
43,california-san-diego 2025,12,7.958781928,4.2629713,9,-2.34,7,7.7,1375.127831,5.704626909
44,oklahoma 2025,9,4.859599933,4.657466635,11,11.43,8,21.47,1335.871904,5.664953393
45,san-diego-state 2025,11,5.546003122,4.447008724,10,8.23,7.5,18.27,1271.856512,5.5983156
