"","teams","finalFourTeam","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"1","kansas 2023",0,1,5.58201296333662,6.39103186578038,5.5659217877095,-7.6256971874311,10.4889500972132,0.437571388828427,1.67186186402139,7
"2","howard 2023",0,16,4.90942749747188,-0.904616757865348,5.67489093959732,-9.54563832200332,9.57282067747632,0.590709139014523,1.53623503261654,10
"3","arkansas 2023",0,8,5.40155527498125,4.93252621602617,5.55840444444445,-8.01828744908807,12.6881010996225,0.533590123871171,1.64933087581465,9
"4","illinois 2023",0,9,5.53892165598981,4.50282691057517,5.45320950323974,-7.7952477380332,11.3751037344398,0.553690279984934,1.60894610337307,9
"5","saint-marys-ca 2023",0,5,6.8958453863208,6.14508255332403,5.54428635749662,-6.34046160449407,10.231289407314,0.53565400606936,1.75263693683778,8
"6","virginia-commonwealth 2023",0,12,6.17487391701739,3.64295311620485,5.59847368421053,-8.30313901557708,13.1226492361002,0.491053888855437,1.67244137440389,8
"7","connecticut 2023",0,4,6.90901102823816,6.50333114226477,5.70990942774804,-8.11258786067581,10.8904845393688,0.688894656158795,1.80494920395352,9
"8","iona 2023",0,13,6.60233808998643,2.94967644609122,5.5432652173913,-6.35366176663312,12.9815986677769,0.577988571061107,1.79279479997215,9
"9","texas-christian 2023",0,6,5.57501387918814,5.29345837830953,5.38780564263323,-7.01179828870665,12.3472466216216,0.479444176478553,1.66999238289423,9
"10","arizona-state 2023",0,11,4.67799217118111,3.88171486861458,5.11735038830516,-6.96302992049791,11.8105431309904,0.501968319698453,1.49194360963693,9
"11","gonzaga 2023",0,3,7.11584084550824,6.52693503263911,6.12793203181489,-6.16074721167203,10.0285736530676,0.540045073049425,2.05015697855145,8
"12","grand-canyon 2023",0,14,5.94083405551321,1.39812422660037,5.82427976686095,-7.5819221552412,7.39526526835287,0.534572103347249,1.64293770005832,9
"13","northwestern 2023",0,7,5.4212068672446,4.50841407445181,5.1418855721393,-6.09381546243847,13.1099949005609,0.470290668026517,1.60017508074112,7
"14","boise-state 2023",0,10,6.07277835186566,4.79587908845719,5.60700272479564,-6.97128771122452,7.88170021627017,0.464763529364355,1.63779686020304,7
"15","ucla 2023",0,2,6.96819174674441,6.82280078663783,5.51283925888833,-6.47724433903545,10.8329534976424,0.519733105540016,1.76591721591123,7
"16","north-carolina-asheville 2023",0,15,5.47928981815102,-0.0292110983213289,5.83232567849687,-9.03280161247426,9.44673397582989,0.407177800510599,1.59203608963553,8
"17","purdue 2023",0,1,6.77562331870417,6.62111679405282,5.69360527400082,-6.95864779526996,8.50585234093638,0.7133816010419,1.83928622319509,9
"18","fairleigh-dickinson 2023",0,16,4.70137641890251,-3.11855107591664,5.51353634577603,-6.80421454402668,9.1388620585572,0.592390702970063,1.67203554130652,10
"19","memphis 2023",0,8,5.35555882078551,4.49785878917529,5.72094846900672,-7.99342247272402,12.3734188283299,0.506091306784068,1.64440426262389,11
"20","florida-atlantic 2023",1,9,7.01207432013515,4.42843559323031,5.79571770334928,-7.09637033067177,8.33279420825632,0.520545014712909,1.7784339517755,9
"21","duke 2023",0,5,5.9666543316749,5.0250509776633,5.58261964735516,-7.54159073796073,10.0359535304768,0.621316189701824,1.70447598205696,9
"22","oral-roberts 2023",0,12,7.1584905556042,3.34760583759971,5.97316348973607,-5.54373989223482,11.3263653193459,0.418099416147866,2.02945785159004,8
"23","tennessee 2023",0,4,7.25970853335549,6.74475849279558,5.40894951555329,-6.93721690254087,11.914600211342,0.715442200440487,1.68897302396069,9
"24","louisiana 2023",0,13,5.92440223711725,1.65027501013753,5.7718270453582,-7.67899767815276,8.98837514346614,0.572997379023149,1.78683169134163,8
"25","kentucky 2023",0,6,5.9644263481995,5.55496583093843,5.54110508140108,-6.25854010933808,9.30425173253418,0.689597736296021,1.82370557543124,7
"26","providence 2023",0,11,5.40599601205867,3.77073350797978,5.56738461538462,-6.90400266464419,10.0767812105927,0.562033871311384,1.76302876145188,9
"27","kansas-state 2023",0,3,5.36972739256892,4.99956546293478,5.60136651202025,-8.48787820407475,9.5702656517011,0.54179521167442,1.51813782370836,9
"28","montana-state 2023",0,14,5.44369559069844,0.668459053072227,5.7936375,-7.88775862160542,9.03819787456968,0.444941651741137,1.55585816976892,10
"29","michigan-state 2023",0,7,4.69165933832118,4.68694567355499,5.51230695900858,-7.11262458289951,7.30281713618937,0.44150742749454,1.54149911634309,9
"30","southern-california 2023",0,10,5.3739006196088,4.77437978374438,5.58343794579173,-7.62039500507889,11.6419177596597,0.492505163406633,1.68950091118941,7
"31","marquette 2023",0,2,5.99712234553711,5.52233376043414,5.87658911819887,-6.77593487189771,11.5692115695199,0.434002515498106,1.83580302801907,9
"32","vermont 2023",0,15,5.61859576625454,1.1458544653982,5.76962104324565,-5.78390146508887,8.58009748172218,0.341201658495694,1.73007944998531,9
"33","alabama 2023",0,1,6.78238320417263,7.2242766177995,5.69839354342813,-7.93437510225795,9.40121819583655,0.580077831476321,1.69459164127578,10
"34","texas-am-corpus-christi 2023",0,16,5.64586314103496,-0.433585332998343,5.72262322472849,-7.62331554239651,9.12388778220452,0.561108771105017,1.68328842884336,9
"35","maryland 2023",0,8,5.88423707638581,5.48132015149279,5.55256963162623,-6.68440222776241,9.16751155746852,0.547400521371305,1.69205410456938,8
"36","west-virginia 2023",0,9,5.04394519694921,5.03561633230924,5.55176445023903,-7.74152622968173,8.75967768459135,0.522491357054811,1.56566596011276,9
"37","san-diego-state 2023",1,5,6.04974298207648,5.3286684714103,5.48773420479303,-6.99985728618421,11.0287666977322,0.564509219873684,1.66890021449384,9
"38","college-of-charleston 2023",0,12,6.86716535795491,2.82425274553304,5.55181714285714,-7.18291738453382,8.96864691508858,0.588026760317037,1.77920796089514,9
"39","virginia 2023",0,4,5.99884881129415,5.11912768197105,5.52010775862069,-6.07182674409119,12.6905771713074,0.405188691263322,1.79140328457545,7
